(1739.0, 34.7, 44.3)
(1754.0, 34.7, 44.3)
(1769.0, 34.7, 44.3)
(1779.0, 34.7, 44.3)
(1794.0, 34.7, 44.3)
(1807.0, 34.7, 44.3)
(1821.0, 34.7, 44.3)
(1836.0, 34.7, 44.3)
(1846.0, 34.7, 44.3)
(1860.0, 34.7, 44.3)
(1871.0, 34.7, 44.3)
(1880.0, 34.7, 44.3)
(1895.0, 34.7, 44.3)
(1909.0, 34.7, 44.3)
(1924.0, 34.7, 44.3)
(1936.0, 34.7, 44.3)
(1951.0, 34.7, 44.3)
(1965.0, 34.7, 44.3)
(1978.0, 34.7, 44.3)
(1993.0, 34.7, 44.3)
(2008.0, 34.7, 44.3)
(2022.0, 34.7, 44.3)
(2037.0, 34.7, 44.3)
(2052.0, 34.7, 44.3)
(2062.0, 34.7, 44.3)
(2076.0, 34.7, 44.3)
(2091.0, 34.7, 44.3)
(2106.0, 34.7, 44.3)
(2120.0, 34.7, 44.3)
(2135.0, 34.7, 44.3)
(2149.0, 34.7, 44.3)
(2162.0, 34.7, 44.3)
(2175.0, 34.7, 44.3)
(2189.0, 34.7, 44.3)
(2204.0, 34.7, 44.3)
(2213.0, 34.7, 44.3)
(2222.0, 34.7, 44.3)
(2236.0, 34.7, 44.3)
(2251.0, 34.7, 44.3)
(2264.0, 34.7, 44.3)
(2278.0, 34.7, 44.3)
(2292.0, 34.7, 44.3)
(2307.0, 34.7, 44.3)
(2322.0, 34.7, 44.3)
(2335.0, 34.7, 44.3)
(2350.0, 34.7, 44.3)
(2365.0, 34.7, 44.3)
(2379.0, 34.7, 44.3)
(2394.0, 34.8, 44.3)
(2409.0, 34.8, 44.3)
(2420.0, 34.8, 44.3)
(2429.0, 34.8, 44.3)
(2444.0, 34.8, 44.3)
(2458.0, 34.8, 44.3)
(2473.0, 34.8, 44.3)
(2487.0, 34.8, 44.3)
(2502.0, 34.8, 44.3)
(2511.0, 34.8, 44.3)
(2520.0, 34.8, 44.3)
(2534.0, 34.8, 44.3)
(2548.0, 34.8, 44.3)
(2563.0, 34.8, 44.3)
(2578.0, 34.8, 44.3)
(2588.0, 34.8, 44.3)
(2603.0, 34.8, 44.3)
(2618.0, 34.8, 44.3)
(2632.0, 34.8, 44.3)
(2647.0, 34.8, 44.3)
(2662.0, 34.8, 44.3)
(2676.0, 34.8, 44.3)
(2689.0, 34.8, 44.3)
(2703.0, 34.8, 44.3)
(2718.0, 34.8, 44.3)
(2732.0, 34.8, 44.3)
(2743.0, 34.8, 44.3)
(2758.0, 34.8, 44.3)
(2771.0, 34.8, 44.3)
(2785.0, 34.8, 44.3)
(2800.0, 34.8, 44.3)
(2815.0, 34.8, 44.3)
(2829.0, 34.8, 44.3)
(2841.0, 34.8, 44.3)
(2852.0, 34.8, 44.3)
(2861.0, 34.8, 44.3)
(2870.0, 34.8, 44.3)
(2879.0, 34.8, 44.3)
(2894.0, 34.8, 44.3)
(2908.0, 34.8, 44.3)
(2923.0, 34.8, 44.3)
(2935.0, 34.8, 44.3)
(2944.0, 34.8, 44.3)
(2959.0, 34.9, 44.3)
(2973.0, 34.9, 44.3)
(2982.0, 34.9, 44.3)
(2991.0, 34.9, 44.3)
(3006.0, 34.9, 44.3)
(3015.0, 34.9, 44.3)
(3025.0, 34.9, 44.3)
(3037.0, 34.9, 44.3)
(3046.0, 34.9, 44.3)
(3060.0, 34.9, 44.3)
(3070.0, 34.9, 44.3)
(3084.0, 34.9, 44.3)
(3097.0, 34.9, 44.3)
(3111.0, 34.9, 44.3)
(3126.0, 34.9, 44.3)
(3141.0, 34.9, 44.3)
(3155.0, 34.9, 44.3)
(3169.0, 34.9, 44.3)
(3184.0, 34.9, 44.3)
(3198.0, 34.9, 44.3)
(3213.0, 34.9, 44.3)
(3222.0, 34.9, 44.3)
(3237.0, 34.9, 44.3)
(3252.0, 34.9, 44.3)
(3265.0, 34.9, 44.3)
(3279.0, 34.9, 44.3)
(3293.0, 34.9, 44.3)
(3306.0, 34.9, 44.3)
(3317.0, 34.9, 44.3)
(3328.0, 34.9, 44.3)
(3342.0, 34.9, 44.3)
(3357.0, 34.9, 44.3)
(3372.0, 34.9, 44.3)
(3386.0, 34.9, 44.3)
(3400.0, 34.9, 44.3)
(3410.0, 34.9, 44.3)
(3425.0, 34.9, 44.3)
(3437.0, 34.9, 44.3)
(3450.0, 34.9, 44.3)
(3462.0, 34.9, 44.3)
(3477.0, 34.9, 44.3)
(3491.0, 34.9, 44.3)
(3506.0, 34.9, 44.3)
(3521.0, 34.9, 44.3)
(3535.0, 34.9, 44.3)
(3550.0, 34.9, 44.3)
(3564.0, 34.9, 44.3)
(3579.0, 34.9, 44.3)
(3593.0, 34.9, 44.3)
(3607.0, 34.9, 44.3)
(3622.0, 34.9, 44.3)
(3636.0, 34.9, 44.3)
(3651.0, 34.9, 44.3)
(3665.0, 34.9, 44.3)
(3680.0, 34.9, 44.3)
(3689.0, 34.9, 44.3)
(3704.0, 34.9, 44.3)
(3718.0, 34.9, 44.3)
(3733.0, 34.9, 44.3)
